obsid,lat_IND,lon_IND,roi_name,minimal_distance,lat_WORD,lon_WORD,time,MY
ESP_020347_0930,-87.0038,127.413,Bilbao,0.9418965504770428,-87.008,127.273,2010-11-28 22:26:45,30
ESP_021903_0930,-87.0079,127.597,Bilbao,1.8889767326369267,-87.008,127.273,2011-03-30 04:23:26,30
ESP_011565_0930,-87.0128,127.469,Bilbao,1.2613631260772409,-87.008,127.273,2009-01-13 15:17:34,29
ESP_012211_0930,-87.0138,127.477,Bilbao,1.3532876472461368,-87.008,127.273,2009-03-04 23:22:24,29
ESP_011776_0930,-87.0088,127.294,Bilbao,0.15155502469159549,-87.008,127.273,2009-01-30 01:52:56,29
ESP_012633_0930,-87.0143,127.501,Bilbao,1.502756460401877,-87.008,127.273,2009-04-06 20:33:40,29
ESP_012844_0930,-87.0115,127.397,Bilbao,0.8214721087147449,-87.008,127.273,2009-04-23 07:09:17,29
ESP_012488_0930,-87.0144,127.513,Bilbao,1.5698831772275357,-87.008,127.273,2009-03-26 13:23:05,29
ESP_011420_0930,-87.0093,127.317,Bilbao,0.2947135613464393,-87.008,127.273,2009-01-02 08:07:26,29
ESP_020558_0930,-87.0036,127.413,Bilbao,0.9532420227971391,-87.008,127.273,2010-12-15 09:02:54,30
PSP_003720_0930,-87.1209,126.202,Bilbao,14.018756436179626,-87.008,127.273,2007-05-13 07:06:37,28
PSP_002664_0930,-86.8245,147.04,unknown,119.89770227599126,-87.008,127.273,2007-02-20 00:17:37,28
PSP_003087_0930,-87.1228,126.291,Bilbao,13.997352832165388,-87.008,127.273,2007-03-24 23:21:05,28
ESP_011931_0945,-85.21,181.482,Ithaca,11.74630117808117,-85.12799999999999,180.7,2009-02-11 03:45:54,29
ESP_012063_0945,-85.2101,181.495,Ithaca,11.831856728934047,-85.12799999999999,180.7,2009-02-21 10:37:04,29
ESP_020357_0950,-85.1337,180.714,Ithaca,0.650298021525186,-85.12799999999999,180.7,2010-11-29 17:09:47,30
ESP_011350_0945,-85.216,181.415,Ithaca,11.906674525625853,-85.12799999999999,180.7,2008-12-27 21:14:00,29
ESP_020476_0950,-85.1377,180.774,Ithaca,1.290512189374924,-85.12799999999999,180.7,2010-12-08 23:42:40,30
ESP_021491_0950,-85.1591,180.857,Ithaca,3.77737881940101,-85.12799999999999,180.7,2011-02-26 01:54:01,30
ESP_020779_0950,-85.1362,180.735,Ithaca,0.9740522060402399,-85.12799999999999,180.7,2011-01-01 14:21:25,30
ESP_012076_0945,-85.2099,181.47,Ithaca,11.667243976287724,-85.12799999999999,180.7,2009-02-22 10:55:51,29
ESP_012643_0945,-85.2084,181.465,Ithaca,11.507606118094078,-85.12799999999999,180.7,2009-04-07 15:16:44,29
ESP_020146_0950,-85.1344,180.719,Ithaca,0.7371331111906257,-85.12799999999999,180.7,2010-11-13 06:33:03,30
ESP_012854_0945,-85.2857,181.101,Ithaca,18.00600510175314,-85.12799999999999,180.7,2009-04-24 01:52:17,29
ESP_011351_0945,-85.2157,181.548,Ithaca,12.628671611218413,-85.12799999999999,180.7,2008-12-27 23:05:54,29
ESP_011404_0945,-85.236,181.105,Ithaca,12.646225576543522,-85.12799999999999,180.7,2009-01-01 02:12:52,29
ESP_011403_0945,-85.2394,181.038,Ithaca,12.83917650976371,-85.12799999999999,180.7,2009-01-01 00:21:03,29
ESP_020568_0950,-85.1374,180.743,Ithaca,1.1261603633763193,-85.12799999999999,180.7,2010-12-16 03:45:58,30
ESP_012858_0855,-85.2751,181.156,Ithaca,16.97232467545895,-85.12799999999999,180.7,2009-04-24 09:18:42,29
PSP_003822_0945,-85.2075,181.463,Ithaca,11.417928839705453,-85.12799999999999,180.7,2007-05-21 05:52:26,28
PSP_002675_0945,-85.2228,181.616,Ithaca,13.643162507657328,-85.12799999999999,180.7,2007-02-20 20:52:43,28
PSP_003466_0945,-85.2065,181.452,Ithaca,11.266478967227455,-85.12799999999999,180.7,2007-04-23 12:06:56,28
PSP_004033_0945,-85.2073,181.453,Ithaca,11.341654338404517,-85.12799999999999,180.7,2007-06-06 16:28:31,28
PSP_003309_0945,-85.2035,181.503,Ithaca,11.323758176108406,-85.12799999999999,180.7,2007-04-11 06:30:16,28
PSP_003453_0945,-85.2098,181.487,Ithaca,11.75854055965625,-85.12799999999999,180.7,2007-04-22 11:48:05,28
PSP_003308_0945,-85.205,181.446,Ithaca,11.101516883256373,-85.12799999999999,180.7,2007-04-11 04:38:36,28
PSP_003677_0945,-85.1768,181.214,Ithaca,7.296638760121782,-85.12799999999999,180.7,2007-05-09 22:42:49,28
PSP_003310_0855,-85.1996,181.476,Ithaca,10.832260684479659,-85.12799999999999,180.7,2007-04-11 08:21:45,28
PSP_003176_0945,-85.2077,181.478,Ithaca,11.524325243566288,-85.12799999999999,180.7,2007-03-31 21:48:06,28
PSP_003796_0950,-85.177,180.045,Ithaca,8.256312941309814,-85.12799999999999,180.7,2007-05-19 05:15:03,28
PSP_002622_0945,-85.2109,181.474,Ithaca,11.777759584652555,-85.12799999999999,180.7,2007-02-16 17:45:48,28
PSP_003730_0945,-85.2086,181.48,Ithaca,11.613585893667222,-85.12799999999999,180.7,2007-05-14 01:49:34,28
PSP_003193_0850,-85.1614,180.033,Ithaca,7.326217095309965,-85.12799999999999,180.7,2007-04-02 05:33:10,28
PSP_003756_0945,-85.2118,181.475,Ithaca,11.862298026965853,-85.12799999999999,180.7,2007-05-16 02:27:04,28
PSP_003954_0945,-85.2921,181.159,Ithaca,18.82086134664143,-85.12799999999999,180.7,2007-05-31 12:43:57,28
PSP_004178_0945,-85.2013,181.414,Ithaca,10.59264033785124,-85.12799999999999,180.7,2007-06-17 23:38:31,28
PSP_004891_0945,-85.2082,181.555,Ithaca,12.038694092438622,-85.12799999999999,180.7,2007-08-12 13:01:23,28
PSP_004666_0945,-85.2103,181.489,Ithaca,11.813546517244717,-85.12799999999999,180.7,2007-07-26 00:14:05,28
ESP_029548_0945,-85.2063,181.452,Ithaca,11.249197963364802,-85.12799999999999,180.7,2012-11-14 21:03:46,31
ESP_038040_0950,-85.2039,181.484,Ithaca,11.23864542940693,-85.12799999999999,180.7,2014-09-07 14:23:08,32
ESP_038462_0950,-85.1866,181.257,Ithaca,8.391443159849377,-85.12799999999999,180.7,2014-10-10 11:19:26,32
ESP_037842_0950,-85.1723,181.094,Ithaca,6.190431815735489,-85.12799999999999,180.7,2014-08-23 04:09:20,32
ESP_039359_0950,-85.1852,181.322,Ithaca,8.67277595995838,-85.12799999999999,180.7,2014-12-19 08:17:32,32
ESP_040216_0950,-85.1992,181.364,Ithaca,10.115794079595787,-85.12799999999999,180.7,2015-02-24 02:55:53,32
ESP_040189_0950,-85.1929,181.272,Ithaca,9.032668663737613,-85.12799999999999,180.7,2015-02-22 00:26:24,32
ESP_011960_0925,-87.3029,167.97,Portsmouth,0.8940505176469913,-87.302,167.801,2009-02-13 09:58:40,29
ESP_020742_0925,-87.3032,168.054,Portsmouth,1.3366062846473798,-87.302,167.801,2010-12-29 17:08:36,30
ESP_021454_0925,-87.3034,167.998,Portsmouth,1.0472129622509394,-87.302,167.801,2011-02-23 04:41:17,30
ESP_012817_0925,-87.3034,168.026,Portsmouth,1.1929390836358684,-87.302,167.801,2009-04-21 04:39:29,29
ESP_021520_0925,-87.3023,167.87,Portsmouth,0.3642966262407864,-87.302,167.801,2011-02-28 08:06:34,30
ESP_012316_0925,-87.3033,168.212,Portsmouth,2.1652116823596628,-87.302,167.801,2009-03-13 03:43:10,29
ESP_020597_0925,-87.3029,168.018,Portsmouth,1.1451231404347566,-87.302,167.801,2010-12-18 09:58:43,30
ESP_012527_0925,-87.303,168.082,Portsmouth,1.4813197391670188,-87.302,167.801,2009-03-29 14:19:05,29
ESP_020953_0925,-87.3032,168.356,Portsmouth,2.9203704794686183,-87.302,167.801,2011-01-15 03:43:40,30
ESP_020386_0925,-87.3026,168.033,Portsmouth,1.2214603634808927,-87.302,167.801,2010-12-01 23:22:40,30
